lakeid,year4,sampledate,towdepth
"MO",1993,1993-04-12,21.4
"MO",1993,1993-04-22,21.6
"MO",1993,1993-05-10,21.5
"MO",1993,1993-05-25,21.5
"MO",1993,1993-06-08,21.2
"MO",1993,1993-06-21,19.2
"MO",1993,1993-07-06,22.5
"MO",1993,1993-07-19,20.5
"MO",1993,1993-08-02,20.6
"MO",1993,1993-08-16,22.0
"MO",1993,1993-09-01,20.5
"MO",1993,1993-09-14,21.5
"MO",1993,1993-09-27,21.0
"MO",1993,1993-10-12,20.8
"MO",1993,1993-10-25,21.0
"MO",1993,1993-11-08,21.0
"MO",1993,1993-11-22,21.0
"MO",1993,1993-12-08,21.2
"MO",1994,1994-01-24,20.9
"MO",1994,1994-04-11,21.4
"ME",1994,1994-01-24,23.5
"ME",1994,1994-03-01,24.0
"ME",1994,1994-04-11,24.0
"ME",1994,1994-04-25,24.0
"ME",1994,1994-05-12,23.6
"ME",1994,1994-05-24,23.0
"ME",1994,1994-06-06,23.0
"ME",1994,1994-06-20,23.0
"ME",1994,1994-07-05,22.5
"ME",1994,1994-07-18,22.0
"ME",1994,1994-08-01,23.5
"ME",1994,1994-08-15,24.0
"ME",1994,1994-09-01,24.0
"ME",1994,1994-09-12,24.0
"ME",1994,1994-09-26,24.0
"ME",1994,1994-10-10,23.9
"ME",1994,1994-10-27,24.0
"ME",1994,1994-11-07,23.5
"ME",1994,1994-11-21,20.5
"ME",1994,1994-12-05,23.3
"MO",1976,1976-01-20,18.7
"MO",1976,1976-02-25,18.6
"MO",1976,1976-03-31,20.4
"MO",1976,1976-04-15,20.2
"MO",1976,1976-05-21,18.7
"MO",1976,1976-06-01,16.9
"MO",1976,1976-06-10,19.9
"MO",1976,1976-06-25,19.9
"MO",1976,1976-07-07,20.2
"MO",1976,1976-07-21,20.2
"MO",1976,1976-08-03,19.0
"MO",1976,1976-08-17,18.4
"MO",1976,1976-08-31,18.7
"MO",1976,1976-09-24,19.9
"MO",1976,1976-10-08,20.2
"MO",1976,1976-11-11,18.4
"MO",1976,1976-12-22,19.6
"MO",1977,1977-02-03,16.8
"MO",1977,1977-03-07,17.2
"MO",1977,1977-03-17,18.7
"MO",1977,1977-05-16,17.2
"MO",1977,1977-06-14,17.5
"MO",1977,1977-07-28,20.2
"MO",1977,1977-09-01,16.3
"MO",1977,1977-10-13,11.7
"MO",1978,1978-01-24,18.0
"MO",1978,1978-03-15,17.2
"MO",1978,1978-04-26,18.5
"MO",1978,1978-05-10,19.0
"MO",1978,1978-05-24,21.0
"MO",1978,1978-06-19,22.5
"MO",1978,1978-07-05,21.5
"MO",1978,1978-07-19,18.0
"MO",1978,1978-08-01,21.0
"MO",1978,1978-08-15,21.0
"MO",1978,1978-08-28,21.0
"MO",1978,1978-09-11,21.0
"MO",1978,1978-09-27,18.5
"MO",1978,1978-10-10,22.0
"MO",1978,1978-10-23,21.0
"MO",1978,1978-11-07,20.5
"MO",1978,1978-11-30,20.5
"MO",1979,1979-01-29,16.5
"MO",1979,1979-02-22,16.0
"MO",1979,1979-03-15,16.0
"MO",1979,1979-04-10,16.0
"MO",1979,1979-04-23,18.0
"MO",1979,1979-05-11,18.0
"MO",1979,1979-05-21,18.0
"MO",1979,1979-06-05,21.5
"MO",1979,1979-06-22,21.0
"MO",1979,1979-07-02,21.0
"MO",1979,1979-07-16,21.5
"MO",1979,1979-08-02,14.5
"MO",1979,1979-08-14,17.5
"MO",1979,1979-08-28,20.0
"MO",1979,1979-09-12,21.0
"MO",1979,1979-09-24,21.0
"MO",1979,1979-10-08,21.0
"MO",1979,1979-10-24,21.0
"MO",1979,1979-11-05,19.0
"MO",1979,1979-11-19,19.5
"MO",1979,1979-12-04,19.5
"MO",1980,1980-01-30,15.5
"MO",1980,1980-04-02,20.0
"MO",1980,1980-04-21,20.5
"MO",1980,1980-05-05,22.5
"MO",1980,1980-05-20,20.4
"MO",1980,1980-06-03,21.5
"MO",1980,1980-06-17,21.0
"MO",1980,1980-06-30,20.0
"MO",1980,1980-07-14,21.5
"MO",1980,1980-07-29,20.5
"MO",1980,1980-08-11,19.0
"MO",1980,1980-08-25,21.5
"MO",1980,1980-09-08,21.5
"MO",1980,1980-09-25,22.0
"MO",1980,1980-10-15,14.5
"MO",1980,1980-10-28,12.0
"MO",1980,1980-11-25,20.5
"MO",1980,1980-12-18,18.5
"MO",1981,1981-01-28,17.5
"MO",1981,1981-03-10,16.5
"MO",1981,1981-03-31,17.5
"MO",1981,1981-04-15,17.0
"MO",1981,1981-05-04,22.0
"MO",1981,1981-05-19,22.0
"MO",1981,1981-06-02,20.5
"MO",1981,1981-06-17,20.5
"MO",1981,1981-06-30,21.5
"MO",1981,1981-07-15,21.5
"MO",1981,1981-07-29,20.0
"MO",1981,1981-08-12,21.5
"MO",1981,1981-09-02,21.5
"MO",1981,1981-09-22,21.5
"MO",1981,1981-10-15,19.5
"MO",1981,1981-11-03,20.0
"MO",1982,1982-01-28,15.0
"MO",1982,1982-03-18,16.5
"MO",1982,1982-04-21,21.0
"MO",1982,1982-05-04,20.5
"MO",1982,1982-05-18,20.0
"MO",1982,1982-06-01,19.5
"MO",1982,1982-06-16,21.5
"MO",1982,1982-06-30,21.8
"MO",1982,1982-07-13,21.5
"MO",1982,1982-07-29,18.3
"MO",1982,1982-08-16,19.5
"MO",1982,1982-09-16,21.1
"MO",1982,1982-10-12,21.3
"MO",1982,1982-11-16,21.5
"MO",1983,1983-02-08,16.0
"MO",1983,1983-04-11,18.0
"MO",1983,1983-04-26,22.0
"MO",1983,1983-05-10,21.1
"MO",1983,1983-05-24,21.0
"MO",1983,1983-06-07,20.5
"MO",1983,1983-06-21,21.0
"MO",1983,1983-07-05,19.0
"MO",1983,1983-07-19,20.5
"MO",1983,1983-08-02,20.5
"MO",1983,1983-08-22,20.5
"MO",1983,1983-09-13,21.5
"MO",1983,1983-10-11,21.5
"MO",1983,1983-11-08,20.5
"MO",1984,1984-01-16,17.8
"MO",1984,1984-04-11,21.3
"MO",1984,1984-04-25,21.5
"MO",1984,1984-05-10,19.7
"MO",1984,1984-05-21,19.2
"MO",1984,1984-06-07,21.4
"MO",1984,1984-07-02,22.0
"MO",1984,1984-07-16,21.0
"MO",1984,1984-07-31,21.8
"MO",1984,1984-08-14,21.0
"MO",1984,1984-08-28,21.2
"MO",1984,1984-09-18,20.5
"MO",1984,1984-10-10,21.0
"MO",1984,1984-11-06,21.9
"MO",1985,1985-01-22,19.3
"MO",1985,1985-04-09,20.2
"MO",1985,1985-04-24,21.7
"MO",1985,1985-05-07,22.0
"MO",1985,1985-05-21,21.7
"MO",1985,1985-06-04,21.7
"MO",1985,1985-06-17,20.1
"MO",1985,1985-07-01,21.5
"MO",1985,1985-07-16,21.7
"MO",1985,1985-07-29,21.7
"MO",1985,1985-08-15,21.5
"MO",1985,1985-08-27,21.6
"MO",1985,1985-09-16,20.0
"MO",1985,1985-10-15,20.0
"MO",1986,1986-01-21,19.1
"MO",1986,1986-03-17,20.5
"MO",1986,1986-04-07,21.7
"MO",1986,1986-04-22,21.8
"MO",1986,1986-05-06,21.8
"MO",1986,1986-05-20,18.8
"MO",1986,1986-06-03,19.6
"MO",1986,1986-06-17,21.3
"MO",1986,1986-07-01,20.5
"MO",1986,1986-07-15,21.4
"MO",1986,1986-07-29,18.5
"MO",1986,1986-08-12,20.7
