lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
LR,1,1985,109,1985-04-19,110,1985-04-20,315,1985-11-11,325,1985-11-21
LR,2,1985,109,1985-04-19,110,1985-04-20,315,1985-11-11,325,1985-11-21
LR,1,1986,101,1986-04-11,102,1986-04-12,314,1986-11-10,315,1986-11-11
LR,2,1986,101,1986-04-11,102,1986-04-12,314,1986-11-10,315,1986-11-11
LR,1,1987,98,1987-04-08,99,1987-04-09,324,1987-11-20,327,1987-11-23
LR,2,1987,98,1987-04-08,99,1987-04-09,324,1987-11-20,327,1987-11-23
LR,1,1988,100,1988-04-09,102,1988-04-11,321,1988-11-16,323,1988-11-18
LR,2,1988,100,1988-04-09,102,1988-04-11,321,1988-11-16,323,1988-11-18
LR,1,1989,111,1989-04-21,114,1989-04-24,319,1989-11-15,321,1989-11-17
LR,2,1989,111,1989-04-21,114,1989-04-24,319,1989-11-15,321,1989-11-17
LR,1,1990,103,1990-04-13,106,1990-04-16,334,1990-11-30,337,1990-12-03
LR,2,1990,103,1990-04-13,106,1990-04-16,334,1990-11-30,337,1990-12-03
LR,1,1991,102,1991-04-12,105,1991-04-15,308,1991-11-04,310,1991-11-06
LR,2,1991,102,1991-04-12,105,1991-04-15,308,1991-11-04,310,1991-11-06
LR,1,1992,114,1992-04-23,115,1992-04-24,318,1992-11-13,321,1992-11-16
LR,2,1992,114,1992-04-23,115,1992-04-24,318,1992-11-13,321,1992-11-16
LR,2,1993,116,1993-04-26,118,1993-04-28,309,1993-11-05,312,1993-11-08
LR,1,1993,116,1993-04-26,118,1993-04-28,314,1993-11-10,316,1993-11-12
LR,1,1994,106,1994-04-16,108,1994-04-18,327,1994-11-23,330,1994-11-26
LR,2,1994,106,1994-04-16,107,1994-04-17,327,1994-11-23,330,1994-11-26
LR,1,1995,107,1995-04-17,110,1995-04-20,311,1995-11-07,313,1995-11-09
LR,2,1995,110,1995-04-20,112,1995-04-22,311,1995-11-07,313,1995-11-09
LR,1,1996,126,1996-05-05,128,1996-05-07,316,1996-11-11,317,1996-11-12
LR,2,1996,126,1996-05-05,127,1996-05-06,316,1996-11-11,317,1996-11-12
LR,1,1997,115,1997-04-25,116,1997-04-26,318,1997-11-14,321,1997-11-17
LR,2,1997,115,1997-04-25,116,1997-04-26,318,1997-11-14,321,1997-11-17
LR,2,1998,96,1998-04-06,97,1998-04-07,341,1998-12-07,342,1998-12-08
LR,1,1998,97,1998-04-07,98,1998-04-08,342,1998-12-08,344,1998-12-10
LR,1,1999,99,1999-04-09,102,1999-04-12,333,1999-11-29,334,1999-11-30
LR,2,1999,99,1999-04-09,102,1999-04-12,333,1999-11-29,334,1999-11-30
LR,2,2000,84,2000-03-24,86,2000-03-26,322,2000-11-17,325,2000-11-20
LR,1,2000,87,2000-03-27,88,2000-03-28,322,2000-11-17,325,2000-11-20
SP,1,1981,,,,,342,1981-12-08,345,1981-12-11
SP,1,1982,123,1982-05-03,124,1982-05-04,337,1982-12-03,341,1982-12-07
SP,1,1983,119,1983-04-29,120,1983-04-30,336,1983-12-02,337,1983-12-03
SP,1,1984,111,1984-04-20,112,1984-04-21,338,1984-12-03,339,1984-12-04
SP,1,1985,111,1985-04-21,112,1985-04-22,328,1985-11-24,329,1985-11-25
SP,1,1986,101,1986-04-11,102,1986-04-12,332,1986-11-28,335,1986-12-01
SP,1,1987,100,1987-04-10,102,1987-04-12,336,1987-12-02,337,1987-12-03
SP,1,1988,104,1988-04-13,105,1988-04-14,335,1988-11-30,336,1988-12-01
SP,1,1989,114,1989-04-24,116,1989-04-26,328,1989-11-24,331,1989-11-27
SP,1,1990,106,1990-04-16,107,1990-04-17,334,1990-11-30,337,1990-12-03
SP,1,1991,109,1991-04-19,112,1991-04-22,331,1991-11-27,333,1991-11-29
SP,1,1992,121,1992-04-30,122,1992-05-01,332,1992-11-27,335,1992-11-30
SP,1,1993,120,1993-04-30,122,1993-05-02,328,1993-11-24,334,1993-11-30
SP,1,1994,111,1994-04-21,112,1994-04-22,341,1994-12-07,343,1994-12-09
SP,1,1995,114,1995-04-24,115,1995-04-25,326,1995-11-22,328,1995-11-24
SP,1,1996,131,1996-05-10,133,1996-05-12,327,1996-11-22,330,1996-11-25
SP,1,1997,118,1997-04-28,119,1997-04-29,354,1997-12-20,356,1997-12-22
SP,1,1998,98,1998-04-08,99,1998-04-09,355,1998-12-21,356,1998-12-22
SP,1,1999,105,1999-04-15,106,1999-04-16,350,1999-12-16,351,1999-12-17
SP,1,2000,93,2000-04-02,94,2000-04-03,336,2000-12-01,339,2000-12-04
SP,1,2001,112,2001-04-22,113,2001-04-23,358,2001-12-24,360,2001-12-26
SP,1,2002,107,2002-04-17,109,2002-04-19,329,2002-11-25,331,2002-11-27
SP,1,2003,114,2003-04-24,115,2003-04-25,335,2003-12-01,337,2003-12-03
SP,1,2004,107,2004-04-16,110,2004-04-19,351,2004-12-16,352,2004-12-17
SP,1,2005,104,2005-04-14,105,2005-04-15,336,2005-12-02,337,2005-12-03
SP,1,2006,103,2006-04-13,104,2006-04-14,356,2006-12-22,357,2006-12-23
SP,1,2007,103,2007-04-13,106,2007-04-16,334,2007-11-30,337,2007-12-03
SP,1,2008,122,2008-05-01,123,2008-05-02,338,2008-12-03,339,2008-12-04
SP,1,2009,112,2009-04-22,113,2009-04-23,344,2009-12-10,345,2009-12-11
SP,1,2010,89,2010-03-30,90,2010-03-31,340,2010-12-06,341,2010-12-07
SP,1,2011,115,2011-04-25,116,2011-04-26,340,2011-12-05,341,2011-12-06
SP,1,2012,,,,,345,2012-12-10,346,2012-12-11
TB,1,1981,,,,,314,1981-11-10,328,1981-11-24
TB,1,1982,121,1982-05-01,123,1982-05-03,315,1982-11-11,326,1982-11-22
TB,1,1983,117,1983-04-27,118,1983-04-28,315,1983-11-11,318,1983-11-14
TB,1,1984,109,1984-04-18,110,1984-04-19,313,1984-11-08,317,1984-11-12
TB,1,1985,112,1985-04-22,113,1985-04-23,316,1985-11-12,318,1985-11-14
TB,1,1986,100,1986-04-10,104,1986-04-14,314,1986-11-10,315,1986-11-11
TB,1,1987,100,1987-04-10,102,1987-04-12,324,1987-11-20,327,1987-11-23
TB,1,1988,104,1988-04-13,106,1988-04-15,319,1988-11-14,323,1988-11-18
TB,1,1989,114,1989-04-24,116,1989-04-26,317,1989-11-13,318,1989-11-14
TB,1,1990,110,1990-04-20,113,1990-04-23,327,1990-11-23,330,1990-11-26
TB,1,1991,108,1991-04-18,109,1991-04-19,305,1991-11-01,308,1991-11-04
TB,1,1992,119,1992-04-28,120,1992-04-29,316,1992-11-11,318,1992-11-13
TB,1,1993,116,1993-04-26,118,1993-04-28,309,1993-11-05,312,1993-11-08
TB,1,1994,108,1994-04-18,110,1994-04-20,327,1994-11-23,330,1994-11-26
TB,1,1995,115,1995-04-25,117,1995-04-27,311,1995-11-07,313,1995-11-09
TB,1,1996,129,1996-05-08,130,1996-05-09,314,1996-11-09,316,1996-11-11
TB,1,1997,118,1997-04-28,119,1997-04-29,316,1997-11-12,317,1997-11-13
TB,1,1998,100,1998-04-10,101,1998-04-11,341,1998-12-07,342,1998-12-08
TB,1,1999,104,1999-04-14,105,1999-04-15,328,1999-11-24,331,1999-11-27
