lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
"BM","1","1997","118","1997-04-28 00:00:00","119","1997-04-29 00:00:00","325","1997-11-21 00:00:00","328","1997-11-24 00:00:00"
"BM","1","1998","98","1998-04-08 00:00:00","99","1998-04-09 00:00:00","356","1998-12-22 00:00:00","357","1998-12-23 00:00:00"
"BM","1","1999","105","1999-04-15 00:00:00","106","1999-04-16 00:00:00","350","1999-12-16 00:00:00","351","1999-12-17 00:00:00"
"BM","1","2000","93","2000-04-02 00:00:00","94","2000-04-03 00:00:00","336","2000-12-01 00:00:00","339","2000-12-04 00:00:00"
"BM","1","2001","110","2001-04-20 00:00:00","113","2001-04-23 00:00:00","358","2001-12-24 00:00:00","360","2001-12-26 00:00:00"
"BM","1","2002","107","2002-04-17 00:00:00","109","2002-04-19 00:00:00","329","2002-11-25 00:00:00","331","2002-11-27 00:00:00"
"BM","1","2003","115","2003-04-25 00:00:00","116","2003-04-26 00:00:00","335","2003-12-01 00:00:00","337","2003-12-03 00:00:00"
"BM","1","2004","112","2004-04-21 00:00:00","113","2004-04-22 00:00:00","350","2004-12-15 00:00:00","352","2004-12-17 00:00:00"
"BM","1","2005","105","2005-04-15 00:00:00","106","2005-04-16 00:00:00","336","2005-12-02 00:00:00","337","2005-12-03 00:00:00"
"BM","1","2006","104","2006-04-14 00:00:00","106","2006-04-16 00:00:00","338","2006-12-04 00:00:00","339","2006-12-05 00:00:00"
"BM","1","2007","109","2007-04-19 00:00:00","110","2007-04-20 00:00:00","334","2007-11-30 00:00:00","337","2007-12-03 00:00:00"
"BM","1","2008","121","2008-04-30 00:00:00","123","2008-05-02 00:00:00","336","2008-12-01 00:00:00","338","2008-12-03 00:00:00"
"BM","1","2009","107","2009-04-17 00:00:00","110","2009-04-20 00:00:00","338","2009-12-04 00:00:00","341","2009-12-07 00:00:00"
"BM","1","2010","88","2010-03-29 00:00:00","90","2010-03-31 00:00:00","338","2010-12-04 00:00:00","340","2010-12-06 00:00:00"
"BM","1","2011","117","2011-04-27 00:00:00","118","2011-04-28 00:00:00","","","",""
"CB","1","1981","","","","","","","327","1981-11-23 00:00:00"
"CB","1","1982","118","1982-04-28 00:00:00","120","1982-04-30 00:00:00","315","1982-11-11 00:00:00","326","1982-11-22 00:00:00"
"CB","1","1983","116","1983-04-26 00:00:00","117","1983-04-27 00:00:00","","","318","1983-11-14 00:00:00"
"CB","1","1984","100","1984-04-09 00:00:00","107","1984-04-16 00:00:00","310","1984-11-05 00:00:00","311","1984-11-06 00:00:00"
"CB","1","1985","112","1985-04-22 00:00:00","113","1985-04-23 00:00:00","312","1985-11-08 00:00:00","315","1985-11-11 00:00:00"
"CB","1","1986","101","1986-04-11 00:00:00","102","1986-04-12 00:00:00","311","1986-11-07 00:00:00","314","1986-11-10 00:00:00"
"CB","1","1987","99","1987-04-09 00:00:00","100","1987-04-10 00:00:00","324","1987-11-20 00:00:00","327","1987-11-23 00:00:00"
"CB","1","1988","","","102","1988-04-11 00:00:00","321","1988-11-16 00:00:00","323","1988-11-18 00:00:00"
"CB","1","1989","111","1989-04-21 00:00:00","114","1989-04-24 00:00:00","314","1989-11-10 00:00:00","317","1989-11-13 00:00:00"
"CB","1","1990","103","1990-04-13 00:00:00","106","1990-04-16 00:00:00","327","1990-11-23 00:00:00","330","1990-11-26 00:00:00"
